Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2LlQb7Uoj1kKyGhlkBf9aC,"Thriller","Thriller","Michael Jackson",1982-11-30,357800,78,false,xxx,2025-07-15T23:13:02Z,"","Epic",0.771,0.687,11,-9.814,1,0.0693,0.0318,0.000225,0.89,0.783,118.392,4
spotify:track:2W9u3whoCkQYOUbmnSrHi1,"What'd I Miss","Hamilton (Original Broadway Cast Recording)","Daveed Diggs;Leslie Odom Jr.;Okieriete Onaodowan;Original Broadway Cast of Hamilton",2015-09-25,236701,68,false,xxx,2025-07-15T22:44:53Z,"musicals","Atlantic Records",0.539,0.577,7,-7.763,1,0.386,0.169,0,0.14,0.319,177.787,4
spotify:track:7sZDbHZiuHEzS00vzCuhqS,"Rapper's Delight","The Showdown: The Sugarhill Gang vs. Grandmaster Flash & The Furious Five","The Sugarhill Gang",1999-01-24,427360,54,false,xxx,2025-07-15T22:40:01Z,"old school hip hop,funk","Rhino",0.9,0.845,11,-7.306,0,0.257,0.465,0,0.0724,0.914,111.187,4
spotify:track:4pNiE4LCVV74vfIBaUHm1b,"Sir Duke","Songs In The Key Of Life","Stevie Wonder",1976-09-28,232760,72,false,xxx,2025-07-15T22:12:01Z,"motown,classic soul,soul","UNI/MOTOWN",0.588,0.568,6,-9.766,1,0.0672,0.16,0,0.0792,0.952,106.938,4
spotify:track:0hKRSZhUGEhKU6aNSPBACZ,"A Day In The Life - Remastered 2009","Sgt. Pepper's Lonely Hearts Club Band (Remastered)","The Beatles",1967-06-01,337413,61,false,xxx,2025-07-15T23:10:35Z,"classic rock,psychedelic rock","EMI Catalogue",0.364,0.457,4,-14.162,0,0.0675,0.29,0.000106,0.922,0.175,163.219,4
spotify:track:0cr1UXsH8XdUfrpvxHCane,"Starfish and Coffee","Sign ""O"" the Times","Prince",1987-03-30,170506,38,false,xxx,2025-07-15T23:16:40Z,"funk,funk rock","Rhino/Warner Records",0.57,0.477,6,-15.043,0,0.0553,0.501,0,0.123,0.799,204.462,4
spotify:track:1WDgdCoNSN0fosaTaLGXKU,"Takin' It to the Streets","Takin' It to the Streets","The Doobie Brothers",1976-03-12,231600,58,false,xxx,2025-07-15T23:24:33Z,"yacht rock,classic rock,soft rock,southern rock","Warner Records",0.637,0.697,0,-8.903,1,0.0297,0.171,0,0.108,0.938,147.103,4
spotify:track:18zHhKCCwidy2O6j5KPBOI,"Got to Get You Into My Life","Greatest Hits","Earth, Wind & Fire",1998-11-17,250200,36,false,xxx,2025-07-15T22:56:48Z,"funk,disco","Columbia/Legacy",0.709,0.504,6,-11.829,1,0.0553,0.696,0.00157,0.595,0.831,141.15,4
spotify:track:5gaUkg5JNk8c4mr2jnpX8H,"Give Me the Night","Give Me the Night","George Benson",1980-07-16,301026,67,false,xxx,2025-07-15T21:57:53Z,"smooth jazz,yacht rock,jazz funk,soul jazz","Rhino/Warner Records",0.835,0.765,1,-7.831,1,0.0681,0.475,0.0692,0.12,0.855,110.282,4
spotify:track:2JuD9XQ80unCfaJK2FX9HB,"Survive","Something Big","Mary Mary",2011-03-28,219133,29,false,xxx,2025-07-15T22:28:34Z,"gospel,gospel r&b","Columbia",0.679,0.867,7,-3.649,1,0.0468,0.208,0,0.14,0.835,90.018,4
spotify:track:2hl9ONQ7YGgZGYx0OSHvIq,"Philadelphia Freedom","Captain Fantastic And The Brown Dirt Cowboy","Elton John",1975-05-19,324573,56,false,xxx,2025-07-15T23:29:21Z,"","EMI",0.712,0.681,0,-6.351,0,0.0294,0.0444,0.000235,0.0592,0.809,125.497,4
spotify:track:7z3aH1QV2zwMKXxShBNOGe,"Le Freak","Le Freak / Savior Faire","CHIC",1978,210246,54,false,xxx,2025-07-15T23:42:37Z,"disco,funk","Rhino Atlantic",0.847,0.491,7,-15.707,1,0.054,0.0363,0.000687,0.186,0.875,119.873,4
